Dataset,Total_Statements,Number_of_Clusters,Noise_Points,Noise_Percentage,Avg_Cluster_Size,Silhouette_Score,Vector_Dimension,Dataset_Distribution,trial,vectorization,sample_size,min_cluster_size_ratio,min_cluster_size,min_samples,min_samples_ratio,tfidf_weight,pca_components,clustering_mode
Combined,30553,36,28667,93.82712008640722,52.388888888888886,0.16601984802629777,32,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",51,hybrid,300,0.03,9,9,1.0,0.3,32,combined
Combined,39060,17,36564,93.60983102918587,146.8235294117647,0.2225204799972208,16,"{'PersonaChat': 692, 'SyntheticPersonaChat': 351, 'MSC': 771, 'PEC': 19963, 'FoCus': 596, 'MPChat': 2330, 'PER-CHAT': 14357}",52,hybrid,400,0.04,16,11,0.7,0.3,16,combined
Combined,21736,44,20235,93.0944055944056,34.11363636363637,0.15982393637503844,48,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",53,hybrid,200,0.05,10,7,0.7,0.3,48,combined
Combined,21736,155,12701,58.433014354066984,58.29032258064516,0.49636508727274514,16,"{'PersonaChat': 426, 'SyntheticPersonaChat': 281, 'MSC': 441, 'PEC': 11012, 'FoCus': 390, 'MPChat': 1341, 'PER-CHAT': 7845}",54,tfidf,200,0.05,10,10,1.0,,16,combined
Combined,12093,130,5949,49.19374844951625,47.261538461538464,0.5052853706780933,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",55,tfidf,100,0.1,10,7,0.7,,32,combined
Combined,12093,330,7252,59.968576862647815,14.66969696969697,0.4435578281355573,16,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",56,tfidf,100,0.05,5,3,0.7,,16,combined
Combined,46737,3,44341,94.87344074288038,798.6666666666666,0.18504364788532257,48,"{'PersonaChat': 786, 'SyntheticPersonaChat': 359, 'MSC': 893, 'PEC': 23698, 'FoCus': 702, 'MPChat': 2684, 'PER-CHAT': 17615}",57,dense,500,0.1,50,50,1.0,,48,combined
Combined,12093,2,3164,26.163896469031673,4464.5,0.010171244852244854,32,"{'PersonaChat': 244, 'SyntheticPersonaChat': 185, 'MSC': 262, 'PEC': 6017, 'FoCus': 243, 'MPChat': 773, 'PER-CHAT': 4369}",58,dense,100,0.03,5,3,0.7,,32,combined
Combined,30553,211,17904,58.59981016594114,59.947867298578196,0.4433641517227043,16,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",59,tfidf,300,0.04,12,6,0.5,,16,combined
Combined,30553,675,17053,55.81448630249075,20.0,0.45769244927411845,32,"{'PersonaChat': 574, 'SyntheticPersonaChat': 341, 'MSC': 598, 'PEC': 15462, 'FoCus': 514, 'MPChat': 1714, 'PER-CHAT': 11350}",60,tfidf,300,0.02,6,4,0.7,,32,combined
